题目,A,B,C,D,正确答案
谁罪大滔天，搞到百姓怨声载道？,索尼,微软,苹果,腾讯,A
12年TV年度销量霸权是？,柯南,伪物语,蜡笔小新,樱桃小丸子,B
"“夜阑卧听风吹雨,铁马冰河入梦来”是谁的诗句？",李白,杜甫,李清照,陆游,D
"“夜阑卧听风吹雨,铁马冰河入梦来”是谁的诗句？",李白,杜甫,王维,陆游,D
魔法少女小圆的导演是谁？,新房昭之,虚渊玄,西尾维新,北野武,A
我国唯一一个具有五种地形的省区是哪里？,甘肃,四川,云南,广东,B
珍珠港事件后 美国航母集群什么轰炸机？,F-22,米格-1,B-25 米切尔,波音737,C
以下哪个是微软的产品？,XBOX ONE,PS4,iMac,GeForce,A
宫崎骏唯一获得奥斯卡最佳动画长篇奖项的动画电影是？,天空之城,千与千寻,侧耳倾听,龙猫,B
以下哪家不是显卡厂商？,amd,nvidia,kfc,intel,C
世界上面积最大的岛屿？,澳大利亚,普吉岛,布吉岛,格陵兰岛,D
磁带、硬盘和信用卡都利用了什么特性的物质来作储存数据？,低磁滞损失的铁磁性物质,铜线的导电性,自来水的流动性,自大狂的膨胀性,A
索尼的第一部游戏主机playstation是在哪一年推出的？,1984年,1994年,1995年,1999年,B
以下哪种视频容器格式可封装的轨道数最多？,avi,rmvb,mkv,jpg,C
一战中最先使用毒气弹的战役是？,索姆河战役,莫斯科战役,斯大林格勒战役,凡尔登战役,D
在 1993 年 Windows 95 的测试版中的开发版本号是哪一个？,Chicago,Whistler,Longhorn,NewYork,A
Fate Zero第二季中的OP作者是谁？,久石让,梶浦由记,大野克夫,高梨康治,B
大美利坚自由独立的第一枪在哪里打响？,加利福尼亚,费城,莱克星顿,多伦多,C
国际通用的标准音的频率是？,110Hz,220Hz,330Hz,440Hz,D
下列哪个不是天启四骑士？,战神,白马,红马,黑马,A
网页在不重载页面的情况下重绘部分页面的技术叫做什么？,HTML5,AJAX,Flash,Silverlight,B
以下那个adobe的软件是用于剪辑视频的？,photoshop,aftereffects,premiere,lightroom,C
谁证明了地球是圆的？,哥伦布,卡文迪许,伽利略,麦哲伦,D
战略大作战这部电影当中，主角们做了啥？,开着谢尔曼抢银行,开着阿波罗号登月,踩着鼓点蹦迪,开黑玩喷射战士,A
美版恐龙战队的绿衣队员叫什么？,修米,汤米,大米,玉米,B
《新本格魔法少女莉丝佳》中莉丝佳使用什么魔法？,空间,房间,时间,离间,C
